Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201291NE00710,268310,870250,-4.211488,57.702788,91,3,3,1,17/01/2012,3,08:00:00,927,S12000017,3,9,6,60,7,4,6,0,0,0,6,8,4,0,0,2,1,
201291NE00997,277130,875020,-4.066036,57.748104,91,3,2,3,23/01/2012,2,10:20:00,927,S12000017,5,0,6,60,0,-1,-1,0,0,0,1,1,4,0,0,2,1,
201291NE01205,292970,908470,-3.815143,58.052465,91,3,1,1,28/01/2012,7,02:10:00,927,S12000017,3,9,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,
201291NE03107,270850,868590,-4.16801,57.688625,91,3,2,1,07/03/2012,4,16:50:00,927,S12000017,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,
201291NE03292,273570,870710,-4.123534,57.708427,91,3,1,4,11/03/2012,1,21:12:00,927,S12000017,4,817,6,30,3,4,6,0,0,0,6,1,1,5,2,2,1,
201291NE03555,254720,859090,-4.432599,57.598447,91,2,1,1,16/03/2012,6,19:05:00,927,S12000017,6,0,6,30,0,-1,-1,0,0,4,4,1,1,0,0,2,1,
201291NE03776,266490,868980,-4.241298,57.690852,91,3,2,1,21/03/2012,4,19:16:00,927,S12000017,3,9,6,60,3,4,6,0,0,0,6,2,1,0,0,2,1,
201291NE03798,252830,850170,-4.458788,57.517784,91,3,1,1,22/03/2012,5,15:27:00,927,S12000017,3,862,6,30,7,4,3,832,0,0,1,1,1,0,0,2,1,
201291NE04014,270450,868670,-4.174757,57.689228,91,3,2,1,26/03/2012,2,16:30:00,927,S12000017,5,0,6,30,3,4,5,0,0,0,1,1,1,0,0,2,1,
201291NE04196,264570,850960,-4.263398,57.528539,91,3,1,1,30/03/2012,6,03:30:00,927,S12000017,6,0,6,60,0,-1,-1,0,0,0,6,4,1,0,0,2,2,
201291NE04401,262950,867560,-4.29982,57.677042,91,2,2,5,03/04/2012,3,09:43:00,927,S12000017,3,9,6,60,3,4,4,9,0,0,1,3,3,0,0,2,1,
201291NE04525,265060,853660,-4.25672,57.55292,91,3,2,2,05/04/2012,5,23:45:00,927,S12000017,3,832,3,60,3,3,4,9161,0,0,6,1,1,0,0,2,1,
201291NE04983,185150,871910,-5.605902,57.68564,91,3,2,1,17/04/2012,3,07:30:00,927,S12000017,3,832,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,2,
201291NE05745,241310,859020,-4.656678,57.593304,91,3,2,3,02/05/2012,4,21:00:00,927,S12000017,3,835,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,
201291NE06084,270370,864870,-4.174055,57.655096,91,3,1,1,10/05/2012,5,16:40:00,927,S12000017,4,9160,9,60,0,-1,-1,0,0,0,1,8,1,7,0,2,1,
201291NE06101,220900,860600,-4.998821,57.599843,91,3,2,3,11/05/2012,6,11:15:00,927,S12000017,3,832,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,
201291NE06136,267740,870030,-4.220924,57.700646,91,2,2,3,12/05/2012,7,10:51:00,927,S12000017,3,9,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,
201291NE06348,260210,852600,-4.337087,57.541933,91,2,2,3,17/05/2012,5,05:08:00,927,S12000017,3,9,6,60,1,4,6,0,0,0,1,2,2,0,0,2,1,
201291NE06351,265400,848090,-4.247963,57.503027,91,3,2,1,17/05/2012,5,09:07:00,927,S12000017,3,9,3,70,9,4,6,0,0,0,1,2,2,0,0,2,1,
201291NE06408,263180,849730,-4.285899,57.517081,91,3,6,2,18/05/2012,6,08:25:00,927,S12000017,4,9161,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,
201291NE06627,262920,849350,-4.290023,57.513592,91,2,2,1,22/05/2012,3,21:30:00,927,S12000017,3,9,3,70,5,4,3,9161,0,0,1,1,1,0,0,2,1,
201291NE06703,264470,873640,-4.27778,57.732072,91,2,2,1,23/05/2012,4,21:39:00,927,S12000017,4,9176,6,60,6,4,5,0,0,1,1,1,1,0,0,2,1,
